File Name,ok/nok,Modification Date,Dates et heures A1, Reference porteur,Reference flex,Part number 101,Batch number 101,Part number 102,Batch number 102,Part number 103,Batch number 103,Part number 201,Batch number 201,Part number 202,Batch number 202,Part number 203,Batch number 203,Part number LV,Batch number LV,Part number HV,Batch number HV,Dates et heures B1,Soudage 1.1,Soudage 1.2,Soudage 2.1,Soudage 2.2,Soudage 3.1,Soudage 3.2,Soudage 4.1,Soudage 4.2,Soudage 5.1,Soudage 5.2,Soudage 6.1,Soudage 6.2,Soudage 7.1,Soudage 7.2,Soudage 8.1,Soudage 8.2,Soudage 9.1,Soudage 9.2,Dates et heures A11,A11,Dates et heures B2,Collage,B3 dates et heures,Pressage,Dates et heures A21,Test 1,A22 dates et heures,Test 2
ELV036257-4023133.TXT,0221123-0048.txt,2023-11-28,2023/11/27 14:10:48,06,AB12221-603-0H-ELV036257-4023133,PAB12221-101-3A,H202310230019,PAB12221-102-3A,H202303300028,PAB12221-103-3A,H202305050034,PAB12221-201-3A,H202305170014,PAB12221-202-3A,H202305170015,PAB12221-203-3A,H202305170016,PAB12221-311-3A,HN23001-002,N/O,N/O,2023/11/27 14:12:05,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/11/27 14:15:44,OK,2023/11/27 14:20:57,OK,2023/11/27 14:22:44,OK,2023/11/28 07:43:43,OK,2023/11/28 07:44:20,OK
ELV036257-4023159.TXT,0221123-0053.txt,2023-12-01,2023/12/01 07:22:20,07,AB12221-603-0H-ELV036257-4023159,PAB12221-101-6A,H202310230029,PAB12221-102-6A,H202310300038,PAB12221-103-6A,H202311133024,PAB12221-201-5A,H0003715581,PAB12221-202-6A,H0003714866,PAB12221-203-7A,H0003718808,PAB12221-311-6A,H0002023112,N/O,N/O,2023/12/01 07:23:01,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/12/01 07:26:39,OK,2023/12/01 07:28:16,OK,2023/12/01 07:28:39,OK,2023/12/01 08:18:25,OK,2023/12/01 08:18:58,OK
ELV036257-4023154.TXT,0221123-0054.txt,2023-12-01,2023/12/01 07:31:12,02,AB12221-603-0H-ELV036257-4023154,PAB12221-101-6A,H202310230029,PAB12221-102-6A,H202310300038,PAB12221-103-6A,H202311133024,PAB12221-201-5A,H0003715581,PAB12221-202-6A,H0003714866,PAB12221-203-7A,H0003718808,PAB12221-311-6A,H0002023112,N/O,N/O,2023/12/01 07:31:53,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/12/01 07:35:22,OK,2023/12/01 07:38:03,OK,2023/12/01 07:39:50,OK,2023/12/01 08:28:52,OK,2023/12/01 08:30:18,OK
ELV036257-4023163.TXT,0221123-0056.txt,2023-12-01,2023/12/01 07:51:51,04,AB12221-603-0H-ELV036257-4023163,PAB12221-101-6A,H202310230029,PAB12221-102-6A,H202310300038,PAB12221-103-6A,H202311133024,PAB12221-201-5A,H0003715581,PAB12221-202-6A,H0003714866,PAB12221-203-7A,H0003718808,PAB12221-311-6A,H0002023112,N/O,N/O,2023/12/01 07:53:29,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/12/01 07:59:33,OK,2023/12/01 08:15:32,OK,2023/12/01 08:15:53,OK,2023/12/01 10:10:33,OK,2023/12/01 10:12:11,OK
ELV036257-4023156.TXT,0221123-0057.txt,2023-12-01,2023/12/01 07:40:12,07,AB12221-603-0H-ELV036257-4023156,PAB12221-101-6A,H202310230029,PAB12221-102-6A,H202310300038,PAB12221-103-6A,H202311133024,PAB12221-201-5A,H0003715581,PAB12221-202-6A,H0003714866,PAB12221-203-7A,H0003718808,PAB12221-311-6A,H0002023112,N/O,N/O,2023/12/01 07:41:29,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/12/01 07:45:10,OK,2023/12/01 07:51:16,OK,2023/12/01 07:52:38,OK,2023/12/01 10:15:40,OK,2023/12/01 10:16:51,OK
ELV036257-4023135.TXT,0221123-0058.txt,2023-12-01,2023/12/01 08:17:18,02,AB12221-603-0H-ELV036257-4023135,PAB12221-101-6A,H202310230029,PAB12221-102-6A,H202310300038,PAB12221-103-6A,H202311133024,PAB12221-201-5A,H0003715581,PAB12221-202-6A,H0003714866,PAB12221-203-7A,H0003718808,PAB12221-311-6A,H0002023112,N/O,N/O,2023/12/01 08:17:59,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/12/01 08:27:41,OK,2023/12/01 08:32:26,OK,2023/12/01 08:32:49,OK,2023/12/01 10:25:51,OK,2023/12/01 10:30:06,OK
ELV036257-4023138.TXT,0221123-0059.txt,2023-12-01,2023/12/01 08:24:00,06,AB12221-603-0H-ELV036257-4023138,PAB12221-101-6A,H202310230029,PAB12221-102-6A,H202310300038,PAB12221-103-6A,H202311133024,PAB12221-201-5A,H0003715581,PAB12221-202-6A,H0003714866,PAB12221-203-7A,H0003718808,PAB12221-311-6A,H0002023112,N/O,N/O,2023/12/01 08:24:42,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/12/01 08:28:18,OK,2023/12/01 08:34:29,OK,2023/12/01 08:35:51,OK,2023/12/01 10:30:06,OK,2023/12/01 10:31:01,OK
ELV036257-4023137.TXT,0221123-0060.txt,2023-12-01,2023/12/01 08:27:24,07,AB12221-603-0H-ELV036257-4023137,PAB12221-101-6A,H202310230029,PAB12221-102-6A,H202310300038,PAB12221-103-6A,H202311133024,PAB12221-201-5A,H0003715581,PAB12221-202-6A,H0003714866,PAB12221-203-7A,H0003718808,PAB12221-311-6A,H0002023112,N/O,N/O,2023/12/01 08:28:07,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/12/01 08:31:52,OK,2023/12/01 08:37:31,OK,2023/12/01 08:38:46,OK,2023/12/01 10:40:55,OK,2023/12/01 10:41:29,OK
ELV036257-4023168.TXT,0221123-0061.txt,2023-12-01,2023/12/01 10:30:47,03,AB12221-603-0H-ELV036257-4023168,PAB12221-101-6A,H202310230029,PAB12221-102-6A,H202310300038,PAB12221-103-6A,H202311133024,PAB12221-201-5A,H0003715581,PAB12221-202-6A,H0003714866,PAB12221-203-7A,H0003718808,PAB12221-311-6A,H0002023112,N/O,N/O,2023/12/01 10:31:29,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/12/01 10:37:09,OK,2023/12/01 10:43:12,OK,2023/12/01 10:43:34,OK,2023/12/01 10:54:41,OK,2023/12/01 10:56:05,OK
ELV036257-4023169.TXT,0221123-0062.txt,2023-12-01,2023/12/01 10:36:32,04,AB12221-603-0H-ELV036257-4023169,PAB12221-101-6A,H202310230029,PAB12221-102-6A,H202310300038,PAB12221-103-6A,H202311133024,PAB12221-201-5A,H0003715581,PAB12221-202-6A,H0003714866,PAB12221-203-7A,H0003718808,PAB12221-311-6A,H0002023112,N/O,N/O,2023/12/01 10:37:14,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,2023/12/01 10:42:43,OK,2023/12/01 10:46:40,OK,2023/12/01 10:47:03,OK,2023/12/01 11:06:26,OK,2023/12/01 11:07:28,OK
